28-11-2022:=> Message:req.headers is not a function, Status:401
28-11-2022 20:9:36:=> Res:  Message:res.status is not a function, Status:500
28-11-2022 20:10:22:=> Res:  Message:req.headers is not a function, Status:401
28-11-2022 20:10:22:=> Res:  Message:res.status is not a function, Status:500
28-11-2022 20:17:36:=> Res:  Message:req.headers is not a function, Status:401
28-11-2022 20:17:36:=> Res:  Message:res.status is not a function, Status:500
28-11-2022 20:18:7:=> Res:  Message:req.headers is not a function, Status:401
28-11-2022 20:18:7:=> Res:  Message:res.status is not a function, Status:500
28-11-2022 20:19:27:=> Res:  Message:res.status is not a function, Status:500
28-11-2022 20:19:27:=> Res:  Message:req.headers is not a function, Status:401
28-11-2022 20:21:22:=> Res:  Message:Please Login, Status:401
28-11-2022 20:21:22:=> Res:  Message:res.status is not a function, Status:500
28-11-2022 20:22:56:=> Res:  Message:Please Login, Status:401
28-11-2022 20:22:56:=> Res:  Message:You not use JWT, Status:500
28-11-2022 20:22:56:=> Res:  Message:res.status is not a function, Status:500
28-11-2022 20:24:27:=> Res:  Message:Please Login, Status:401
28-11-2022 20:24:27:=> Res:  Message:You not use JWT, Status:500
28-11-2022 20:24:27:=> Res:  Message:res.status is not a function, Status:500
28-11-2022 20:25:1:=> Res:  Message:Please Login, Status:401
28-11-2022 20:32:41:=> Res:  Message:אתה לא מנהל יאללה עוף, Status:500
28-11-2022 20:32:41:=> Res:  Message:אתה לא מנהל יאללה עוף, Status:500
28-11-2022 20:32:41:=> Res:  Message:אתה לא מנהל יאללה עוף, Status:500
28-11-2022 20:52:53:=> Res:  Message:אתה לא מנהל יאללה עוף, Status:500
28-11-2022 21:2:20:=> Res:  Message:Please Login, Status:401
