31-10-2022:=> Message:אינך מורשה, Status:404
31-10-2022 18:41:8:=> Res:  Message:אינך מורשה, Status:404
31-10-2022 18:41:8:=> Res:  Message:אינך מורשה, Status:404
31-10-2022 18:41:8:=> Res:  Message:אינך מורשה, Status:404
31-10-2022 18:41:8:=> Res:  Message:אינך מורשה, Status:404
31-10-2022 18:41:8:=> Res:  Message:אינך מורשה, Status:404
31-10-2022 19:13:19:=> Res:  Message:ops, Status:404
31-10-2022 19:53:23:=> Res:  Message:getCard is not a function, Status:500
31-10-2022 19:54:34:=> Res:  Message:getCard is not a function, Status:500
31-10-2022 19:54:54:=> Res:  Message:getCard is not a function, Status:500
31-10-2022 19:54:54:=> Res:  Message:getCard is not a function, Status:500
31-10-2022 19:55:54:=> Res:  Message:getCard is not a function, Status:500
31-10-2022 20:16:29:=> Res:  Message:create is not a function, Status:500
31-10-2022 20:16:53:=> Res:  Message:Assignment to constant variable., Status:500
